ID,Media,Latitude,Longitude,COMMUNE,Site_web,Support historique,logo,Annee_creation,Aire_couverture,EPCI_couverts,Thematique_principale,Groupe
1,Les actualités locales au cinéma,44.769264,1.509781,Reilhaguet,http://actualites-locales-au-cinema.fr/,Pure-player,,2013,Gourdon et Villefranche de Rouergue,,,
2,Contact magazine,47.324982,5.043742,Dijon,-,Presse,,,Dijon (Quartier des Grézilles),,,
3,Couac,45.436335,4.383998,Saint-Étienne,https://lenumerozero.lautre.net/-Couac,Presse,,2016,Saint-Etienne et agglo,,,
5,Gardarem Lo Larzac,44.057279,3.241798,La Roque-Sainte-Marguerite,http://larzac.org/accueil/echos-et-publications/gll-le-journal-du-larzac-solidaire/,Presse,,1975,Plateau du Larzac,,Info militante,
6,Haute Saintonge,45.444472,-0.438818,Jonzac,-,Presse,,,,,Informations générales,
7,Horizons Cent Ile-de-France,48.441488,1.515853,Chartres,http://www.horizons-journal.fr/,Presse,http://www.horizons-journal.fr/skin/default/img/logo.png,1990,"Eure-et-Loir, Loir-et-Cher, Seine-et-Marne, Île-de-France ouest",,Agriculture,Groupe Réussir
8,Îl(e)s,47.745768,-3.366877,Lorient,https://larevuedesiles.fr,Presse,,,,,,
9,Journal Tête de noeud,48.692365,6.182711,Nancy,https://www.facebook.com/pg/votezwillo/about/?ref=page_internal,Presse,,,Nancy et région,,Culture / Militant,
10,Kostar,47.212287,-1.550217,Nantes,https://www.kostar.fr,Presse,,,"44, 49, Bretagne",,"Culture, Loisirs",
11,L'agriculteur provençal,43.53307,5.440026,Aix-en-Provence,https://www.agriculteurprovencal.fr/,Presse,,,,,Agriculture,Groupe Réussir
12,L'Auxois Libre,47.490725,4.332919,Semur-en-Auxois,-,Presse,,,,,Informations générales,
13,L'Axonais,49.37842,3.331828,Soissons,-,Presse,,,,,Informations générales,
14,L'Echo d'Ancenis et du Vignoble,47.366333,-1.178625,Ancenis,https://actu.fr/l-echo-d-ancenis/,Presse,,1839,,,Informations générales,
15,L'Eclaireur du Gâtinais,47.99668,2.732749,Montargis,https://www.facebook.com/leclaireurdugatinais/,Presse,,,,,Informations générales,
16,L'Eure Agricole et Rurale,49.007998,1.173311,Guichainville,http://www.eure-agricole.fr/public/index.php,Presse,,,,,Agriculture,Groupe Réussir
17,L'Indépendant du Louhannais et du Jura,46.630104,5.221775,Louhans,https://www.facebook.com/LIndependantDuLouhannais/,Presse,,,,,Informations générales,
18,L'information agricole du Cher,47.104014,2.379542,Saint-Doulchard,https://www.cheragri.fr/,Presse,,,,,Agriculture,Groupe Réussir
19,L’Abeille,48.175509,6.442978,Épinal,https://sphr.fr/hebdo/labeille/,Presse,,,,,Informations générales,
20,L’Aurore du Bourbonnais,46.565952,3.333886,Moulins,https://www.auroredubourbonnais.fr/,Presse,,1944,Allier,,Informations générales,
21,L’Echo du Tarn,43.635253,1.482978,Toulouse,https://sphr.fr/hebdo/lecho-du-tarn/,Presse,,,,,Informations générales,SIPA Ouest-France
22,L’Indépendant de l’Yonne,48.199205,3.284682,Sens,https://independantdelyonne.com/,Presse,,,,,Informations générales,
23,La Canarde Sauvage,43.878132,5.661149,Reillanne,http://lacanardesauvage.free.fr/,Presse,,,,,,
24,La Feuille,44.392922,0.768117,Villeneuve-sur-Lot,http://lafeuille.info/,Presse,,1976,Lot et garonne,,"Enquête, satirique",
25,La feuille de Chou,48.58353,7.746735,Strasbourg,https://la-feuille-de-chou.fr,Presse,,,,,,
26,La Ficelle,45.77373,4.826064,Lyon,http://www.laficelle.com/,Presse,,2008,Lyon métropole,,"Histoire locale, patrimoine",
27,La Galipote,45.769832,3.286713,Vertaizon,https://galipote.jimdo.com/le-journal/,Presse,,1979,,,,
28,La Gazette de Thiers et Ambert,45.858288,3.549853,Thiers,-,Presse,,1815 (à verifier),,,Informations générales,Groupe La Montagne Centre-France
29,La lettre à Lulu,47.212185,-1.550063,Nantes,https://www.lalettrealulu.com/,Presse,,,,,"Enquête, satirique",
30,La Liberté de l’Yonne,47.795482,3.567802,Auxerre,-,Presse,,,,,Informations générales,
31,La Montagne des Hautes Pyrénées,43.072941,0.151591,Bagnères-de-Bigorre,-,Presse,,,,,Informations générales,
32,La semaine de l'Île-de-France (L'informateur de Seine et Oise),48.863834,2.342151﻿,Paris,-,Presse,,1935,91 + 78,,Economie,
33,La Voix du Sancerrois,47.340257,2.855212,Saint-Satur,-,Presse,,1978 (à verifier),,,Informations générales,Groupe La Montagne Centre-France
34,Le 18ème du mois,48.890382,2.347197,Paris,https://www.18dumois.info/,Presse,,,,,Informations générales,
35,Le Courrier du Loiret,48.172503,2.250363,Pithiviers,-,Presse,, 1790 (puis reprise en 1945),,,Informations générales,Groupe La Montagne Centre-France
36,Le Démocrate de l'Aisne,49.83427,3.910335,Vervins,-,Presse,,,,,Informations générales,
37,Le Journal de Gien,47.691208,2.62007,Gien,-,Presse,,1945,,,Informations générales,Groupe La Montagne Centre-France
38,Le journal de la Sologne,47.862332,1.899304,Olivet,http://journalsologne.canalblog.com/,Presse,,,,,Informations générales / investigation,
39,Le Magazine des Autres Possibles (MAP),47.210413,-1.549211,Nantes,https://lesautrespossibles.fr/,Presse,,,,,"Enquête, satirique",
40,Le Paysan Vigneron,45.689484,-0.325269,Cognac,-,Presse,,,,,Agriculture,
41,le Postillon,45.191252,5.697262,Fontaine,https://www.lepostillon.org,Presse,,2009,Grenoble,,,
42,Le Progrès Saint Affricain,43.958749,2.877672,Saint-Affrique,https://www.leprogresstaffricain.fr,Presse,,1910,Sud-Aveyron et Est du Tarn,,Informations générales,
43,Le Régional de Cosne et du Charitois,47.408739,2.923506,Cosne-Cours-sur-Loire,-,Presse,,,,,Informations générales,Groupe La Montagne Centre-France
44,Le Réveil du Vivarais,45.244091,4.668304,Annonay,https://www.facebook.com/reveilduvivarais/,Presse,,1944,,,Informations générales,Groupe La Montagne Centre-France
45,Le trou des combrailles,46.03592,2.62886,Vergheas,https://troudescombrailles.revolublog.com/creuse-c29099186,Presse,,,,,,
46,Les Affiches de la Haute Saône,47.685031,6.495577,Lure,-,Presse,,,,,Informations générales,
47,Les Infos Pays de Ploërmel,47.933042,-2.397501,Ploërmel,https://www.infosredon.fr,Presse,,,,,Informations générales,
48,Liberté Hebdo,50.629607,3.099033,Lille,https://libertehebdo.fr/,Presse,,,Hauts de France,,Informations générales,
49,Nantes Seniors,47.275847,-1.464075,Sainte-Luce-sur-Loire,-,Presse,,,Nantes métropole,,"Culture, Loisirs",Andegave Communication
50,Normandie Magazine,49.120043,-1.096685,Saint-Lô,https://www.normandie-magazine.fr/,Presse,,1982,Normandie,,Informations générales,Groupe La Manche Libre
51,Nouvelles Semaine,16.242999,-61.571139,Baie-Mahault,-,Presse,,,,,Informations générales,
52,Oise Hebdo,49.259798,2.454533,Montataire,https://www.oisehebdo.fr/,Presse,,,Oise,,Informations générales,
53,Oise Hebdo,49.418547,2.821973,Compiègne,https://www.oisehebdo.fr/,Presse,,,,,Informations générales,
54,Oise Hebdo,49.418547,2.821973,Compiègne,https://www.oisehebdo.fr/,Presse,,,Oise,,Informations générales,
55,Oise Hebdo,49.438532,2.107335,Beauvais,https://www.oisehebdo.fr/,Presse,,,Oise,,Informations générales,
56,Place Publique,47.217533,-1.558256﻿,Nantes,https://www.revue-placepublique.fr/,Presse,,,Agglos de Nantes et de Saint-Nazaire,,Informations générales,
57,Terres de Cognac,46.563204,0.422247,Mignaloux-Beauvoir,https://www.terresdecognac.fr,Presse,,,,,Agriculture,Groupe Réussir
59,Villeneuve-info,46.151626,-1.124833,La Rochelle,https://www.collectif-villeneuve.com/villeneuve-info/,Presse,,,"Quartiers de Villeneuve-les-Salines et du Petit Marseille, à la Rochelle",,Informations générales,
60,Voix du Gers,43.635253,1.482978,Toulouse,-,Presse,,,,,Informations générales,SIPA Ouest-France
61,Le Paysan Lorrain,48.695854,6.134882,Laxou,https://www.facebook.com/Paysan-Lorrain-236097887108782/,Presse,,,,,Agriculture,
62,Le Mensuel de Rennes,48.109814,-1.680436,Rennes,https://www.lemensuel.com/rennes,Presse,,2009,,,Informations générales,Groupe Le Télégramme
64,100% vosges,48.166351,6.446731,Épinal,https://www.centpourcent-vosges.fr/,Presse,,,Vosges,,"Culture, Loisirs",
65,20 Minutes,47.214779,-1.546491,Nantes,https://www.20minutes.fr/nantes/,Presse,https://upload.wikimedia.org/wikipedia/fr/thumb/3/33/Logo_20_Minutes.svg/langfr-160px-Logo_20_Minutes.svg.png,,,,Informations générales,Sipa Ouest-France / Groupe Rossel
66,20 Minutes,50.636019,3.068473,Lille,https://www.20minutes.fr/lille/,Presse,https://upload.wikimedia.org/wikipedia/fr/thumb/3/33/Logo_20_Minutes.svg/langfr-160px-Logo_20_Minutes.svg.png,,,,Informations générales,Sipa Ouest-France / Groupe Rossel
67,20 Minutes,48.586815,7.741281,Strasbourg,https://www.20minutes.fr/strasbourg/,Presse,https://upload.wikimedia.org/wikipedia/fr/thumb/3/33/Logo_20_Minutes.svg/langfr-160px-Logo_20_Minutes.svg.png,,,,Informations générales,Sipa Ouest-France / Groupe Rossel
68,20 Minutes,44.842216,-0.572054,Bordeaux,https://www.20minutes.fr/bordeaux/aquitaine/,Presse,https://upload.wikimedia.org/wikipedia/fr/thumb/3/33/Logo_20_Minutes.svg/langfr-160px-Logo_20_Minutes.svg.png,,,,Informations générales,Sipa Ouest-France / Groupe Rossel
